Profiled Section, Average, Minimum, Maximum
CPU Frame Time,0.480303,0.179981,1.407396
GPU Frame Time:     ,274.563873,244.987900,334.989319
Render to Buffers:  ,1.807492,0.285696,6.423552
Shadow Maps Render: ,1.908826,1.885184,1.956864
Lighting Pass:      ,20.529646,14.745600,37.202942
Voxelise Clear:     ,0.152307,0.141312,0.158720
Voxelise Pass:      ,2.112980,2.038784,3.580928
Inject Radiance:    ,245.496399,217.753601,272.250885
GPU Tile Update:    ,0.000007,0.000000,0.001024
Generate Mips:      ,2.510731,1.830912,62.298111
Image Comparison Difference,0.000000,0.000000,0.000000

Memory Usage(MB):,585
