Profiled Section, Average, Minimum, Maximum
CPU Frame Time,6.004964,5.845583,7.598088
GPU Frame Time:     ,354.528107,331.675079,685.120422
Render to Buffers:  ,2.062271,0.340032,6.712800
Shadow Maps Render: ,1.897584,1.877664,2.122464
Lighting Pass:      ,46.805214,33.980064,84.808640
Voxelise Clear:     ,2.761615,2.740512,3.015680
Voxelise Pass:      ,5.449429,5.391872,5.508000
Inject Radiance:    ,286.749634,273.894775,509.222382
GPU Tile Update:    ,0.000125,0.000000,0.025344
Generate Mips:      ,5.161483,3.573440,118.656380
Image Comparison Difference,0.000009,0.000000,0.000572

Memory Usage(MB):,731
